"%s and greater","%s v&agrave; l&#7899;n h&#417;n"
"Advanced Search","T&igrave;m n&acirc;ng cao"
"All","Tất cả"
"Autogenerated site map","T&#7921; t&#7841;o site map"
"Catalog Advanced Search","Tìm kiếm chi tiết"
"Go to Home Page","Tr&#7903; v&#7873; trang ch&#7911;"
"Grid","Grid"
"Home","Trang chủ"
"List","List"
"Name","T&ecirc;n"
"No","Kh&ocirc;ng"
"Popular Search Terms","T&#7915; kh&oacute;a t&igrave;m nhi&#7873;u"
"Popular search terms","T&#7915; kh&oacute;a t&igrave;m nhi&#7873;u"
"Price","Gi&aacute; ti&#7873;n"
"Required Fields","Y&ecirc;u c&#7847;u nh&#7853;p th&ocirc;ng tin"
"Results","Kế quả"
"Search","T&igrave;m"
"Search Settings","T&ugrave;y ch&#7885;n t&igrave;m ki&#7871;m"
"Search Site","T&igrave;m Site"
"Search Terms","T&igrave;m theo t&#7915; kh&oacute;a"
"Search entire store here...","Nhập từ khóa cần tìm"
"Search results for '%s'","Kết quả tìm theo: '%s'"
"Search results for: '%s'","Kết quả tìm theo: '%s'"
"There are no search terms available.","Ch&uacute;ng t&ocirc;i kh&ocirc;ng t&igrave;m th&#7845;y th&ocirc;ng tin b&#7841;n y&ecirc;u c&#7847;u.."
"Yes","C&oacute;"
"You have to specify at least one search term","B&#7841;n c&#7847;n ph&#7843;i x&aacute;c &#273;&#7883;nh &iacute;t nh&#7845;t m&#7897;t &#273;i&#7873;u ki&#7879;n t&igrave;m ki&#7871;m"
"Your search returns no results.","Ch&uacute;ng t&ocirc;i kh&ocirc;ng t&igrave;m th&#7845;y th&ocirc;ng tin b&#7841;n y&ecirc;u c&#7847;u.."
"up to %s","up to %s"
"Relevance","Mời bạn chọn"
"No items were found using the following search criteria.","Ch&uacute;ng t&ocirc;i kh&ocirc;ng t&igrave;m th&#7845;y s&#7843;n ph&#7849;m n&agrave;o theo y&ecirc;u c&#7847;u c&#7911;a b&#7841;n"
"Modify your search","T&igrave;m ki&#7871;m l&#7841;i"