"%s was successfully added to your shopping cart.","%s &#273;&atilde; &#273;&#432;&#7907;c th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng c&#7911;a b&#7841;n."
"&laquo; Back to Billing Information","&laquo; Quay l&#7841;i trang th&ocirc;ng tin thanh to&aacute;n"
"&laquo; Back to Select Addresses","&laquo; Quay l&#7841;i ch&#7885;n &#273;&#7883;a ch&#7881;"
"&laquo; Back to Shopping Cart","&laquo; Quay l&#7841;i gi&#7887; h&agrave;ng"
"* Required Fields","* Y&ecirc;u c&#7847;u nh&#7853;p th&ocirc;ng tin"
"Add New Address","Th&ecirc;m &#273;&#7883;a ch&#7881;"
"Add New Condition","Th&ecirc;m v&agrave;o &#273;i&#7873;u ki&#7879;n m&#7899;i"
"Add to Cart","&#272;&#7863;t mua"
"Add to Compare","So s&aacute;nh"
"Add to Wishlist","L&#432;u l&#7841;i"
"Address","&#272;&#7883;a ch&#7881;"
"Address %s of %s","&#272;&#7883;a ch&#7881; %s c&#7911;a %s"
"After adding a product redirect to shopping cart","Sau khi th&ecirc;m s&#7843;n ph&#7849;m s&#7869; t&#7921; &#273;&#7897;ng chuy&#7875;n t&#7899;i gi&#7887; h&agrave;ng"
"Allow Guest Checkout","Cho ph&eacute;p kh&aacute;ch th&#7921;c hi&#7879;n thanh to&aacute;n"
"Already registered?","B&#7841;n &#273;&atilde; &#273;&#259;ng k&yacute; ch&#432;a?"
"An error occurred in the process of payment","M&#7897;t l&#7895;i x&#7843;y ra trong qu&aacute; tr&igrave;nh thanh to&aacute;n"
"Apply Coupon","&Aacute;p d&#7909;ng phi&#7871;u"
"Are you sure you would like to remove this item from the shopping cart?","B&#7841;n c&oacute; ch&#7855;c ch&#7855;n mu&#7889;n xo&aacute; b&#7887; m&#7909;c n&agrave;y t&#7915; c&aacute;c gi&#7887; mua h&agrave;ng?"
"Back","Quay l&#7841;i"
"Back to Shipping Information","Quay l&#7841;i trang th&ocirc;ng tin v&#7853;n chuy&#7875;n"
"Based on your selection, you may be interested in the following items:","D&#7921;a tr&ecirc;n s&#7921; l&#7921;a ch&#7885;n c&#7911;a b&#7841;n, b&#7841;n c&oacute; th&#7875; &#273;&#432;&#7907;c &#432;u &#273;&atilde;i v&#7899;i c&aacute;c m&#7863;t h&agrave;ng b&#7841;n ch&#7885;n:"
"Billing Address","&#272;&#7883;a ch&#7881; thanh to&aacute;n"
"Billing Information","Th&ocirc;ng tin thanh to&aacute;n"
"Billing Information - %s","Th&ocirc;ng tin thanh to&aacute;n - %s"
"Can not add item to shopping cart","Kh&ocirc;ng th&#7875; s&#7843;n ph&#7849;m v&agrave;o gi&#7887; h&agrave;ng &#273;&#7875; mua s&#7855;m"
"Can not apply coupon code.","Kh&ocirc;ng th&#7875; &aacute;p d&#7909;ng phi&#7871;u mua h&agrave;ng."
"Can\'t open overview page","Kh&ocirc;ng th&#7875; m&#7903; trang t&#7893;ng quan"
"Cancel Coupon","H&#7911;y b&#7887; phi&#7871;u gi&#7843;m gi&aacute;"
"Cannot remove item","Kh&ocirc;ng th&#7875; g&#7905; b&#7887; m&#7863;t h&agrave;ng"
"Cannot update shopping cart","Kh&ocirc;ng th&#7875; c&#7853;p nh&#7853;t gi&#7887; h&agrave;ng"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","T&#7893;ng ti&#7873;n:"
"Change Billing Address","S&#7917;a"
"Change Payment Method","S&#7917;a"
"Change Shipping Address","S&#7917;a"
"Change Shipping Method","S&#7917;a"
"Checkbox text","Checkbox text"
"Checkout","Thanh to&aacute;n"
"Checkout Conditions","&#272;i&#7873;u ki&#7879;n Thanh to&aacute;n"
"Checkout Options","C&#7845;u h&igrave;nh thanh to&aacute;n"
"Checkout Terms and Conditions","Th&#7887;a thu&#7853;n khi mua h&agrave;ng"
"Checkout as Guest","Thanh to&aacute;n kh&ocirc;ng c&#7847;n &#273;&#259;ng k&yacute;"
"Checkout as a Guest or Register","Thanh to&aacute;n nh&#432; l&agrave; m&#7897;t Kh&aacute;ch ho&#7863;c &#272;&#259;ng k&yacute;"
"Checkout Method", "&#272;&#259;ng nh&#7853;p h&#7879; th&#7889;ng"
"Checkout method", "&#272;&#259;ng nh&#7853;p h&#7879; th&#7889;ng"
"Checkout with Multiple Addresses","&#272;&#7863;t h&agrave;ng v&#7899;i nhi&#7873;u &#273;&#7883;a ch&#7881;"
"City","Qu&#7853;n/Huy&#7879;n"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">v&agrave;o &#273;&acirc;y &#273;&#7875; in</a> th&ocirc;ng tin &#273;&#417;n h&agrave;ng n&agrave;y."
"Close","&#272;&oacute;ng"
"Company","N&#417;i c&ocirc;ng t&aacute;c"
"Condition Name","T&ecirc;n &#272;i&#7873;u ki&#7879;n"
"Condition was successfully deleted","&#272;i&#7873;u ki&#7879;n &#273;&atilde; &#273;&#432;&#7907;c x&oacute;a"
"Condition was successfully saved","&#272;i&#7873;u ki&#7879;n &#273;&atilde; &#273;&#432;&#7907;c l&#432;u"
"Configurable product image","C&#7845;u h&igrave;nh h&igrave;nh &#7843;nh s&#7843;n ph&#7849;m"
"Confirm Password","X&aacute;c nh&#7853;n m&#7853;t kh&#7849;u"
"Content","N&#7897;i dung"
"Content Height","Chi&#7873;u cao n&#7897;i dung"
"Content Height (css)","Content Height (css)"
"Continue","Ti&#7871;p t&#7909;c"
"Continue Shopping","Ti&#7871;p t&#7909;c mua h&agrave;ng"
"Continue to Billing Information","Ti&#7871;p t&#7909;c qua Th&ocirc;ng tin thanh to&aacute;n"
"Continue to Review Your Order","Ti&#7871;p t&#7909;c Xem &#273;&#417;n h&agrave;ng"
"Continue to Shipping Information","Ti&#7871;p t&#7909;c Th&ocirc;ng tin v&#7853;n chuy&#7875;n"
"Country","Qu&#7889;c gia"
"Coupon code ""%s"" is not valid.","Phi&#7871;u mua h&agrave;ng ""%s"" kh&ocirc;ng h&#7907;p l&#7879;."
"Coupon code was applied successfully.","Phi&#7871;u mua h&agrave;ng &#273;&atilde; &#273;&#432;&#7907;c &aacute;p d&#7909;ng th&agrave;nh c&ocirc;ng."
"Coupon code was canceled successfully.","Phi&#7871;u mua h&agrave;ng &#273;&atilde; &#273;&#432;&#7907;c h&#7911;y th&agrave;nh c&ocirc;ng."
"Create Billing Address","T&#7841;o &#273;&#7883;a ch&#7881; thanh to&aacute;n"
"Create Shipping Address","T&#7841;o &#273;&#7883;a ch&#7881; nh&#7853;n h&agrave;ng"
"Data saving problem","D&#7919; li&#7879;u l&#432;u b&#7883; l&#7895;i"
"Default Billing","M&#7863;c &#273;&#7883;nh thanh to&aacute;n"
"Default Shipping","M&#7863;c &#273;&#7883;nh v&#7853;n chuy&#7875;n"
"Delete Condition","X&oacute;a &#273;i&#7873;u ki&#7879;n"
"Details","Xem chi ti&#7871;t"
"Disable Onepage Checkout","V&ocirc; hi&#7879;u ho&aacute; tr&ecirc;n trang Thanh to&aacute;n"
"Disabled","Disabled"
"Discount Codes","M&atilde; s&#7889; khuy&#7871;n m&#7841;i"
"Display Cart Summary","Hi&#7875;n th&#7883; t&#7893;ng ti&#7873;n"
"Display Shopping Cart Sidebar","Hi&#7875;n th&#7883; gi&#7887; h&agrave;ng tr&ecirc;n Sidebar"
"Display item quantities","Hi&#7875;n th&#7883; s&#7889; l&#432;&#7907;ng s&#7843;n ph&#7849;m"
"Display number of items in cart","Hi&#7875;n th&#7883; s&#7889; s&#7843;n ph&#7849;m trong gi&#7887; h&agrave;ng"
"Easy access to your order history and status","Qu&#7843;n l&yacute; &#273;&#432;&#7907;c &#273;&#417;n h&agrave;ng"
"Edit","S&#7917;a"
"Edit Address","S&#7917;a &#273;&#7883;a ch&#7881;"
"Edit Billing Address","S&#7917;a &#273;&#7883;a ch&#7881; thanh to&aacute;n"
"Edit Items"," S&#7917;a m&#7863;t h&agrave;ng"
"Edit Shipping Address","S&#7917;a &#273;&#7883;a ch&#7881; nh&#7853;n h&agrave;ng"
"Edit Terms and Conditions"," S&#7917;a &#273;i&#7873;u ki&#7879;n mua h&agrave;ng"
"Edit Your Cart"," S&#7917;a gi&#7887; h&agrave;ng"
"Email Address"," &#272;&#7883;a ch&#7881; email"
"Enable Terms andÂ Conditions","Hi&#7875;n th&#7883; &#273;i&#7873;u kho&#7843;n thanh to&aacute;n"
"Enabled","Enabled"
"Enter a New Address","Nh&#7853;p &#273;&#7883;a ch&#7881; m&#7899;i"
"Enter your coupon code if you have one.","Nh&#7853;p m&atilde; s&#7889; tr&ecirc;n th&#7867; khuy&#7871;n m&#7841;i m&agrave; ch&uacute;ng t&ocirc;i &#273;&atilde; g&#7903;i t&#7863;ng b&#7841;n."
"Enter your destination to get a shipping estimate.","Ch&uacute;ng t&ocirc;i c&oacute; nh&#7919;ng ch&iacute;nh s&aacute;ch v&#7873; thu&#7871; v&agrave; ph&iacute; v&#7853;n chuy&#7875;n cho t&#7915;ng khu v&#7921;c c&#7909; th&#7875;. Do &#273;&oacute; b&#7841;n h&#7841;y ch&#7885;n n&#417;i b&#7841;n mu&#7889;n nh&#7853;n h&agrave;ng &#273;&#7875; bi&#7871;t th&ocirc;ng tin c&#7909; th&#7875;."
"Error while deleting this condition. Please try again later.","L&#7895;i trong khi xo&aacute; b&#7887; t&igrave;nh tr&#7841;ng n&agrave;y. Xin vui l&ograve;ng th&#7917; l&#7841;i sau."
"Error while saving this condition. Please try again later.","L&#7895;i trong khi l&#432;u t&igrave;nh tr&#7841;ng n&agrave;y. Xin vui l&ograve;ng th&#7917; l&#7841;i sau."
"Estimate Shipping and Tax","V&#7853;n chuy&#7875;n v&agrave; &#432;&#7899;c t&iacute;nh thu&#7871;"
"Excl. Tax","VAT"
"Fast and easy check out","Nhanh v&agrave; d&#7877; d&agrave;ng thanh to&aacute;n"
"Fax","Fax"
"Forgot an Item?","B&#7841;n qu&ecirc;n s&#7843;n ph&#7849;m m&igrave;nh &#273;ang mua l&agrave; g&igrave;?"
"Forgot your password?","T&igrave;m l&#7841;i m&#7853;t kh&#7849;u?"
"Get a Quote","Nh&#7853;n th&ocirc;ng tin"
"Grand Total:","T&#7893;ng &#273;&#417;n h&agrave;ng:"
"Grouped product image","Nh&oacute;m s&#7843;n ph&#7849;m h&igrave;nh &#7843;nh"
"ID","ID"
"Incl. Tax","Thu&#7871; VAT"
"Invalid data","D&#7919; li&#7879;u kh&ocirc;ng h&#7907;p l&#7879;"
"Invalid shipping method.","Ph&#432;&#417;ng th&#7913;c v&#7853;n chuy&#7875;n kh&ocirc;ng &#273;&uacute;ng."
"Items","M&#7863;t h&agrave;ng"
"Load customer quote error","L&#7895;i t&#7843;i b&aacute;o gi&aacute; kh&aacute;ch h&agrave;ng"
"Loading next step...","&#272;ang x&#7917; l&yacute; &#273;&#7875; qua b&#432;&#7899;c k&#7871; ti&#7871;p..."
"Login","&#272;&#259;ng nh&#7853;p"
"Manage Checkout Terms and Conditions","Qu&#7843;n l&yacute; c&aacute;c &#273;i&#7873;u kho&#7843;n v&agrave; &#273;i&#7873;u ki&#7879;n Thanh to&aacute;n"
"Maximum qty allowed for Shipping to multiple addresses is %s","S&#7889; l&#432;&#7907;ng t&#7889;i &#273;a cho ph&eacute;p cho V&#7853;n chuy&#7875;n &#273;&#7871;n nhi&#7873;u &#273;&#7883;a ch&#7881; l&agrave; %s"
"Move to Wishlist","B&#7887; v&agrave;o Wishlist"
"My Cart","Gi&#7887; h&agrave;ng"
"My Cart (%s item)","Gi&#7887; h&agrave;ng (%s )"
"My Cart (%s items)","Gi&#7887; h&agrave;ng (%s)"
"My Cart Link","My Cart Link"
"New Address","T&#7841;o &#273;&#7883;a ch&#7881; m&#7899;i"
"New Condition","New Condition"
"Order #","&#272;&#417;n h&agrave;ng s&#7889;: "
"Order Review","Th&ocirc;ng tin &#273;&#417;n h&agrave;ng"
"Order Success","Qu&aacute; tr&igrave;nh &#273;&#7863;t h&agrave;ng th&agrave;nh c&ocirc;ng"
"Other items in your order","M&#7863;t h&agrave;ng kh&aacute;c trong &#273;&#417;n h&agrave;ng"
"Password","M&#7853;t kh&#7849;u"
"Payment Failed Email Reciever","Email ng&#432;&#7901;i nh&#7853;n thanh to&aacute;n kh&ocirc;ng th&agrave;nh c&ocirc;ng"
"Payment Failed Email Sender","Email c&#7911;a b&#7841;n g&#7903;i thanh to&aacute;n kh&ocirc;ng th&agrave;nh c&ocirc;ng"
"Payment Failed Emails","Kh&ocirc;ng thanh to&aacute;n email"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Th&ocirc;ng tin thanh to&aacute;n"
"Payment Method","Ph&#432;&#417;ng th&#7913;c thanh to&aacute;n"
"Payment method is not defined","Payment method is not defined"
"Place Order","Nh&#7853;n h&oacute;a &#273;&#417;n"
"Click <a href=""%s"">here</a> to continue shopping.", "Click <a href=""%s"">v&agrave;o &#273;&acirc;y</a> &#273;&#7875; ti&#7871;p t&#7909;c mua h&agrave;ng."
"Please agree to all Terms and Conditions before placing the order.","Vui l&ograve;ng &#273;&#7891;ng &yacute; v&#7899;i t&#7845;t c&#7843; c&aacute;c &#273;i&#7873;u kho&#7843;n v&agrave; &#273;i&#7873;u ki&#7879;n thanh to&aacute;n tr&#432;&#7899;c khi &#273;&#7863;t h&agrave;ng."
"Please agree to all Terms and Conditions before placing the orders.","Vui l&ograve;ng &#273;&#7891;ng &yacute; v&#7899;i t&#7845;t c&#7843; c&aacute;c &#273;i&#7873;u kho&#7843;n v&agrave; &#273;i&#7873;u ki&#7879;n thanh to&aacute;n tr&#432;&#7899;c khi &#273;&#7863;t h&agrave;ng."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Xin vui l&ograve;ng nh&#7853;p m&#7897;t m&atilde; v&ugrave;ng h&#7907;p l&#7879;. V&iacute; d&#7909;: 0084 ho&#7863;c 90602-1234."
"Please log in below:","Vui l&ograve;ng &#273;&#259;ng nh&#7853;p d&#432;&#7899;i &#273;&acirc;y:"
"Please select region, state or province","Vui l&ograve;ng ch&#7885;n v&ugrave;ng, ti&#7875;u bang ho&#7863;c &#273;&#7883;a b&agrave;n t&#7881;nh"
"Please select shipping address for applicable items","M&#7901;i b&#7841;n ch&#7885;n &#273;&#7883;a ch&#7881; cho vi&#7879;c nh&#7853;n h&agrave;ng"
"Please select shipping methods for all addresses","M&#7901;i b&#7841;n ch&#7885;n ph&#432;&#417;ng th&#7913;c v&#7853;n chuy&#7875;n cho &#273;&#7883;a ch&#7881; n&agrave;y"
"Price","Gi&aacute; ti&#7873;n"
"Proceed to Checkout","Ti&#7871;n h&agrave;nh &#273;&#7863;t h&agrave;ng"
"Product","S&#7843;n ph&#7849;m"
"Product Name","T&ecirc;n s&#7843;n ph&#7849;m"
"Product does not exist","Product does not exist"
"Qty","S&#7889; l&#432;&#7907;ng"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Recently added item(s)","S&#7843;n ph&#7849;m &#273;&atilde; &#273;&#7863;t mua"
"Register","&#272;&#259;ng k&yacute;"
"Register and save time!","T&#7841;i sao ph&#7843;i &#273;&#259;ng k&yacute; m&#7903; m&#7897;t t&agrave;i kho&#7843;n?"
"Register to Create an Account","&#272;&#259;ng k&yacute; m&#7903; t&agrave;i kho&#7843;n"
"Register with us for future convenience:","Vi&#7879;c m&#7903; t&agrave;i kho&#7843;n s&#7869; gi&uacute;p b&#7841;n::"
"Remove","Lo&#7841;i b&#7887;"
"Remove Item","Lo&#7841;i b&#7887; m&#7863;t h&agrave;ng"
"Remove Product","Lo&#7841;i b&#7887; s&#7843;n ph&#7849;m"
"Remove item","Lo&#7841;i b&#7887; m&#7863;t h&agrave;ng"
"Review Order","Xem &#273;&#417;n h&agrave;ng"
"Review Order - %s","Xem &#273;&#417;n h&agrave;ng - %s"
"Sales","Kinh doanh"
"Save Condition","L&#432;u &#273;i&#7873;u ki&#7879;n"
"Save in address book","L&#432;u v&agrave;o s&#7893; &#273;&#7883;a ch&#7881;"
"Select Address","Ch&#7885;n &#273;&#7883;a ch&#7881;"
"Select Addresses","Ch&#7885;n &#273;&#7883;a ch&#7881;"
"Select Shipping Method","Ch&#7885;n ph&#432;&#417;ng th&#7913;c v&#7853;n chuy&#7875;n"
"Select State/Province...","Ch&#7885;n t&#7881;nh/Th&agrave;nh ph&#7889;..."
"Select a billing address from your address book or enter a new address.","Ch&#7885;n m&#7897;t &#273;&#7883;a ch&#7881; thanh to&aacute;n t&#7915; s&#7893; &#273;&#7883;a ch&#7881; c&#7911;a b&#7841;n ho&#7863;c nh&#7853;p m&#7897;t &#273;&#7883;a ch&#7881; m&#7899;i."
"Select a shipping address from your address book or enter a new address.","Ch&#7885;n &#273;&#7883;a ch&#7881; nh&#7853;n h&agrave;ng trong s&#7893; &#273;&#7883;a ch&#7881; c&#7911;a b&#7841;n ho&#7863;c t&#7841;o m&#7899;i &#273;&#7883;a ch&#7881; nh&#7853;n h&agrave;ng.."
"Send Payment Failed Email Copy To","Kh&ocirc;ng email g&#7917;i thanh to&aacute;n &#273;&#7875; sao ch&eacute;p t&#7899;i"
"Send to","G&#7903;i t&#7899;i"
"Ship to Multiple Addresses","Nh&#7853;n h&agrave;ng t&#7841;i nhi&#7873;u &#273;&#7883;a ch&#7881;"
"Ship to different address","Nh&#7853;n h&agrave;ng t&#7841;i &#273;&#7883;a ch&#7881; kh&aacute;c"
"Ship to this address","Nh&#7853;n h&agrave;ng t&#7841;i &#273;&#7883;a ch&#7881; n&agrave;y"
"Shipping Address","&#272;&#7883;a ch&#7881; giao h&agrave;ng"
"Shipping Information","Th&ocirc;ng tin v&#7853;n chuy&#7875;n"
"Shipping Method","Ph&#432;&#417;ng th&#7913;c v&#7853;n chuy&#7875;n"
"Shipping Methods","Ph&#432;&#417;ng th&#7913;c v&#7853;n chuy&#7875;n"
"Shipping method has not been selected yet","Ph&#432;&#417;ng th&#7913;c v&#7853;n chuy&#7875;n ch&#432;a &#273;&#432;&#7907;c ch&#7885;n"
"Shipping selection is not applicable","V&#7853;n chuy&#7875;n b&#7841;n ch&#7885;n kh&ocirc;ng th&#7875; &aacute;p d&#7909;ng"
"Shipping to","Giao h&agrave;ng t&#7841;i"
"Shopping Cart","Gi&#7887; h&agrave;ng"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Gi&#7887; h&agrave;ng tr&#7889;ng"
"Some of the products you requested are not available in the desired quantity","M&#7897;t s&#7889; trong c&aacute;c s&#7843;n ph&#7849;m m&agrave; b&#7841;n y&ecirc;u c&#7847;u kh&ocirc;ng c&oacute; s&#7861;n trong s&#7889; l&#432;&#7907;ng mong mu&#7889;n"
"Some of the products you requested are unavailable","M&#7897;t s&#7889; trong c&aacute;c s&#7843;n ph&#7849;m m&agrave; b&#7841;n y&ecirc;u c&#7847;u kh&ocirc;ng s&#7861;n"
"Sorry, Onepage Checkout is disabled.","Xin l&#7895;i, Onepage Thanh to&aacute;n b&#7883; v&ocirc; hi&#7879;u h&oacute;a."
"Sorry, no quotes are available for this order at this time.","Xin l&#7895;i, kh&ocirc;ng c&oacute; quotes c&oacute; s&#7861;n cho&#273;&#417;n h&agrave;ng n&agrave;y t&#7841;i th&#7901;i &#273;i&#7875;m n&agrave;y."
"State/Province","T&#7881;nh/Th&agrave;nh ph&#7889;"
"Status","Tr&#7841;ng th&aacute;i"
"Store View","Store View"
"Street Address","&#272;&#7883;a ch&#7881;"
"Street Address ","&#272;&#7883;a ch&#7881; "
"Submitting order information...","&#272;ang x&#7917; l&yacute; ti&#7871;n tr&igrave;nh xu&#7845;t h&oacute;a &#273;&#417;n..."
"Subtotal","T&#7893;ng ti&#7873;n"
"Telephone","&#272;i&#7879;n tho&#7841;i li&ecirc;n h&#7879;"
"Terms and Conditions Information","&#272;i&#7873;u ki&#7879;n tham gia thanh to&aacute;n"
"Thank you for your purchase!","C&#7843;m &#417;n b&#7841;n &#273;&atilde; &#273;&#7863;t mua s&#7843;n ph&#7849;m c&#7911;a ch&uacute;ng t&ocirc;i!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Hi&#7879;n c&oacute; <a href=""%s""><strong>%s m&#7863;t h&agrave;ng</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Hi&#7879;n c&oacute; <a href=""%s""><strong>1 m&#7863;t h&agrave;ng</strong></a>."
"There is already a customer registered using this email address","Hi&#7879;n &#273;&atilde; c&oacute; m&#7897;t kh&aacute;ch h&agrave;ng &#273;&#259;ng k&yacute; s&#7917; d&#7909;ng &#273;&#7883;a ch&#7881; email n&agrave;y"
"There was an error processing your order. Please contact us or try again later.","C&oacute; m&#7897;t l&#7895;i trong qu&aacute; tr&igrave;nh &#273;&#7863;t h&agrave;ng c&#7911;a b&#7841;n. Xin vui l&ograve;ng li&ecirc;n h&#7879; v&#7899;i ch&uacute;ng t&ocirc;i ho&#7863;c th&#7917; l&#7841;i sau."
"This condition no longer exists","T&igrave;nh tr&#7841;ng n&agrave;y kh&ocirc;ng c&ograve;n t&#7891;n t&#7841;i"
"Total","T&#7893;ng"
"Total for this address","T&#7893;ng c&#7897;ng cho &#273;&#7883;a ch&#7881; n&agrave;y"
"Unit Price","&#272;&#417;n gi&aacute;"
"Update Qty &amp; Addresses","C&#7853;p nh&#7853;t s&#7889; l&#432;&#7907;ng v&agrave; &#273;&#7883;a ch&#7881;"
"Update Shopping Cart","C&#7853;p nh&#7853;t gi&#7887; h&agrave;ng"
"Update Total","Update Total"
"Use Billing Address","S&#7917; d&#7909;ng c&aacute;c &#273;&#7883;a ch&#7881; thanh to&aacute;n"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ch&uacute;ng t&ocirc;i &#273;ang x&#7917; l&yacute; &#273;&#7863;t h&agrave;ng c&#7911;a b&#7841;n v&agrave; b&#7841;n s&#7869; s&#7899;m nh&#7853;n &#273;&#432;&#7907;c m&#7897;t email  v&#7899;i c&aacute;c chi ti&#7871;t c&#7911;a c&aacute;c &#273;&#417;n &#273;&#7863;t h&agrave;ng. Sau khi c&aacute;c &#273;&#417;n h&agrave;ng c&oacute; v&#7853;n chuy&#7875;n b&#7841;n s&#7869; nh&#7853;n &#273;&#432;&#7907;c m&#7897;t email kh&aacute;c v&#7899;i m&#7897;t li&ecirc;n k&#7871;t &#273;&#7875; theo d&otilde;i s&#7921; ti&#7871;n &#273;&#7897;."
"You have no items in your shopping cart.","Gi&#7887; h&agrave;ng c&#7911;a b&#7841;n ch&#432;a c&oacute; m&#7863;t h&agrave;ng n&agrave;o."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ch&uacute;ng t&ocirc;i &#273;&atilde; g&#7903;i h&oacute;a &#273;&#417;n n&agrave;y qua email c&#7911;a b&#7841;n &#273;&#7875; b&#7841;n ti&#7879;n l&#432;u tr&#7919;. B&#7841;n h&atilde;y ki&#7875;m tra email xem &#273;&atilde; nh&#7853;n &#273;&#432;&#7907;c hay ch&#432;a, n&#7871;u ch&#432;a nh&#7853;n &#273;&#432;&#7907;c b&#7841;n h&atilde;y li&ecirc;n l&#7841;c v&#7899;i ch&uacute;ng t&ocirc;i &#273;&#7875; ch&uacute;ng t&ocirc;i x&#7917; l&yacute; s&#7921; c&#7889; n&agrave;y v&agrave; g&#7903;i l&#7841;i cho b&#7841;n."
"Your Checkout Progress","Ti&#7871;n tr&igrave;nh &#273;&#7863;t h&agrave;ng"
"Your order # is: %s","H&oacute;a &#273;&#417;n c&#7911;a b&#7841;n mang m&atilde; s&#7889;: %s"
"Your order # is: <a href=""%s"">%s</a>","H&oacute;a &#273;&#417;n c&#7911;a b&#7841;n mang m&atilde; s&#7889;: <a href=""%s"">%s</a>"
"Your order has been received","&#272;&#417;n h&agrave;ng &#273;&atilde; nh&#7853;n &#273;&#432;&#7907;c"
"Your order number is ","M&atilde; &#273;&#417;n h&agrave;ng c&#7911;a b&#7841;n l&agrave; "
"Zip/Postal Code","M&atilde; qu&#7889;c gia"
"separate by "",""","ri&ecirc;ng do "","""
"Please specify shipping method.", "Moi ban cho phuong thuc van chuyen"
"This is a required field.","Ph&#7843;i nh&#7853;p th&ocirc;ng tin"