"%s Item(s)","%s M&#7863;t h&agrave;ng"
"&copy; 2008 AICC co., Ltd. All Rights Reserved.","&copy; 2008 AICC co., Ltd. All Rights Reserved."
"(ver. %s)","(ver. %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close Window","&#272;&oacute;ng c&#7917;a s&#7893;"
"Copyright","Copyright"
"Default Description","Th&ocirc;ng tin m&#7863;c &#273;&#7883;nh"
"Default Keywords","Default Keywords"
"Default Robots","Default Robots"
"Default Title","Default Title"
"Default welcome msg!","B&#7841;n ch&#432;a &#273;&#259;ng nh&#7853;p!"
"Footer","Footer"
"HTML Head","HTML Head"
"Header","Header"
"Help Us to Keep Magento Healthy","Help Us to Keep aiSHOP Healthy"
"Interface Language","Ng&ocirc;n ng&#7919; hi&#7875;n th&#7883;"
"Items %s to %s of %s total","M&#7863;t h&agrave;ng %s t&#7899;i %s trong t&#7893;ng s&#7889; %s "
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"aiSHOP Profreshional","aiSHOP Profreshional"
"Next Page","Trang k&#7871;"
"Page:","Trang:"
"Previous Page","Trang tr&#432;&#7899;c"
"Redirecting...","&#272;ang chuy&#7875;n..."
"Report All Bugs","Report All Bugs"
"Select Store","Ch&#7885;n Store"
"Show","Hi&#7875;n th&#7883;"
"Skip to Main Content","Skip to Main Content"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Welcome Text","Welcome Text"
"Welcome, %s!","Welcome, %s!"
"You're currently on:","You're currently on:"
"Your Language","Ng&ocirc;n ng&#7919; c&#7911;a b&#7841;n"
"Your Language:","Ng&ocirc;n ng&#7919; c&#7911;a b&#7841;n:"
"per page","per page"
"San Pham Moi","S&#7843;n ph&#7849;m m&#7899;i"
"San Pham Ban Chay","S&#7843;n ph&#7849;m b&aacute;n ch&#7841;y"
"San Pham Khuyen Mai","S&#7843;n ph&#7849;m khuy&#7871;n m&atilde;i"
"Ton kho","Thanh l&yacute;"
"Sap co","S&#7855;p ra m&#7855;t"
"Feature Products","S&#7843;n ph&#7849;m n&#7893;i b&#7853;t"
"More view","Xem &#273;&#7847;y &#273;&#7911;"
"Ban co the thanh toan voi hub.vn bang","B&#7841;n c&oacute; th&#7875; thanh to&aacute;n v&#7899;i hub.vn b&#7857;ng:"
"Duoc chung nhan giao dich an toan boi","&#272;&#432;&#7907;c ch&#7913;ng nh&#7853;n an to&agrave;n b&#7903;i:"
"View all", "Xem th&ecirc;m"