"loading...","&#272;ang x&#7917; l&yacute;..."
"Continue shopping","Ti&#7871;p t&#7909;c mua h&agrave;ng"
"View cart & checkout","Xem gi&#7887; h&agrave;ng"
"You might also like:","B&#7841;n c&#361;ng c&oacute; th&#7875; th&iacute;ch :"
"Loading box size","K&iacute;ch th&#432;&#7899;c h&#7897;p loading"
"Loading box size. e.g.: 260x50","K&iacute;ch th&#432;&#7899;c h&#7897;p loading. Vd : 260x50"
"Confirm box size","H&#7897;p x&aacute;c nh&#7853;n"
"Confirm box size. e.g.: 260x134","K&iacute;ch th&#432;&#7899;c h&#7897;p x&aacute;c nh&#7853;n. vd : 260x134"
"Image product size","H&igrave;nh s&#7843;n ph&#7849;m"
"Confirm box size. e.g.: 55x55","H&igrave;nh s&#7843;n ph&#7849;m. Vd : 55x55"
"Show Popup","Show Popup"
"Show popup when product is added.","Hi&#7875;n th&#7883; Popup khi click th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng."
"Show Upsell products","Hi&#7875;n th&#7883; trong trang Upsell"
"Show Upsell products in popup when product is added.","Hi&#7875;n th&#7883; trong trang Upsell khi click th&ecirc;m v&agrave;o gi&#7887; h&agrave;ng."
"Upsell number of element","Upsell number of element"
"Upsell number of element to be shown.","Upsell number of element to be shown"
"Upsell number of element per line","Upsell number of element per line"
"Upsell image size","H&igrave;nh s&#7843;n ph&#7849;m"