"Sales","Bán hàng"
"Orders","Đặt hàng"
"Invoices","Hóa đơn"
"Tax","Thuế"
"Manage Tax Rules","Quản lý quy tắc thuế"
"Manage Tax Rates","Quản lý thuế suất"
"Import / Export Tax Rates","Nhập / Xuất Thuế suất"
"Customer Tax Classes","Nhóm thuế khách hàng"
"Product Tax Classes","Nhóm thuế Sản phẩm"
"Configuration","Cấu hình"
"Catalog","Catalog"
"Manage Products","Quản lý Sản phẩm"
"Manage Categories","Quản lý loại hàng"
"Attributes","Thuộc tính "
"Manage Attributes","Quản lý thuộc tính"
"Manage Attribute Sets","Quản lý bộ thuộc tính"
"reviews &amp; Ratings","Nhận xét &amp; Đánh giá"
"Customer reviews","Nhận xét khách hàng"
"Pending reviews","Nhận xét chưa hoàn tất"
"All reviews","Tất cả Nhận xét"
"Manage Ratings","Quản lý Đánh giá"
"Tags","Thẻ"
"Pending Tags","Thẻ treo"
"All Tags","Tổng thẻ"
"Customers' Tags","Thẻ khách hàng"
"Products' Tags","Thẻ Sản phẩm"
"Search","Tìm"
"Datafeeds","Nguồn dữ liệu"
"Dashboard","Bảng theo dõi"
"Customers","Khách hàng"
"Manage Customers","Quản lý khách hàng"
"Customer Groups","Nhóm khách hàng"
"Online Customers","Khách hàng online"
"Promotions","Khuyến mãi"
"Catalog Price Rules","Quy tắc Giá Catalog"
"Shopping Cart Price Rules","Quy tắc Giá Giỏ hàng"
"CMS","CMS"
"Manage Pages","Quản lý trang "
"Static Blocks","Khối tĩnh"
"Poll Manager","Quản lý thăm dò"
"Newsletter","Thư báo"
"Newsletter Templates","Mẫu thư báo"
"Subscribers","Người đăng ký"
"Newsletter Queue","Hàng đợi thư báo"
"Newsletter Problem Reports","Báo cáo trục trặc thư báo"
"Reports","Báo cáo "
"Sales Report","Báo cáo bán hàng"
"Shopping Cart Report","Báo cáo Giỏ hàng"
"Products","Sản phẩm"
"Products Report","Báo cáo Sản phẩm"
"Coupons Reports","Báo cáo phiếu mua hàng"
"Wishlist Report","Báo cáo Danh sách yêu thích"
"Reviews Report","Báo cáo Nhận xét"
"Customers reviews","Nhận xét của khách hàng"
"Products reviews","Nhận xét Sản phẩm"
"Tags Report","Báo cáo thẻ"
"Products (Total)","Sản phẩm (Tổng)"
"Popular","Phổ biến"
"Search Report","Báo cáo Tìm kiếm"
"Best Customers","Khách hàng thân thiết"
"Recent Orders","Đơn hàng gần đây"
"Order Totals","Tổng số đơn hàng"
"System","Hệ thống"
"My Account","Tài khoản"
"Tools","Công cụ"
"Backups","Sao lưu"
"Manage Currency","Quản lý tiền tệ"
"Transactional Emails","Email giao dịch"
"Permissions","Quyền"
"Users","Người dùng"
"Roles","Vai trò"
"Invoice Information","Thông tin hóa đơn"
"Store Name","Tên cửa hàng"
"Create Backup","Sao lưu"
"Title","Tựa đề"
"Add New User","Thêm người dùng"
"Unknown","Không rõ"
"View Order","Xem đơn hàng"
"Number of Unique Tags","Số loại thẻ duy nhất"
"State/Province","Tỉnh thành"
"No Newsletter Found","Không có thư báo nào"
"Session Start Time","Thời điểm bắt đầu phiên"
"Edit Queue","Sửa hàng đợi"
"Edit review '%s'","Sửa Nhận xét '%s'"
"Comparable","So sánh được"
"Number of reviews","Số Nhận xét"
"Block Title","Tên khối"
"Add New","Thêm mới"
"Add New Image","Thêm Hình"
"Unable to find a user to delete","Không thấy người dùng để xóa"
"Related Products","Sản phẩm liên quan"
"Sản phẩm in Cart","Hàng trong Giỏ"
"This user no longer exists","Người dùng không còn tồn tại"
"Shipping Method","Phương thức vận chuyển"
"Signed Up From","Đăng ký từ"
"Cancel Order","Hủy đặt hàng"
"Can be used only with catalog input type Dropdown","Chỉ được sử dụng khi nhập Catalog kiểu Thả xuống"
"Error while deleting this rate. Please try again later.","Có lỗi khi xóa mức này. Hãy thử lại sau."
"Save Account","Lưu tài khoản"
"Shopcart Products","Sản phẩm trong Giỏ"
"Addresses","Địa chỉ"
"Number Purchased","Số đã mua"
"Rule Name","Tên Quy tắc "
"You cannot delete this attribute","Bạn không thể xóa thuộc tính này"
"List only","Chỉ liệt kê"
"Last Modified","Sửa lần cuối"
"Reset Filter","Đặt lại bộ lọc"
"Please make sure that all global admin search modules are installed and activated.","Đảm bảo mọi phân hệ quản trị tìm kiếm toàn bộ đã được cài đặt và kích hoạt."
"Global","Toàn bộ"
"New Address","Địa chỉ mới"
"Delete Category","Xóa Loại hàng"
"Tag","Thẻ"
"Are you sure you want to delete this attribute set?","Bạn có muốn xóa bộ thuộc tính này không?"
"Physical Products","Sản phẩm thực"
"Created at","Được tạo ở"
"User Roles Information","Thông tin vai trò người dùng"
"Currency Information","Thông tin tiền tệ"
"Carts","Giỏ hàng"
"Attribute Label","Nhãn thuộc tính"
"Credit Memo Information","Thông tin Phiếu cấn trừ tiền"
"Error Code","Mã lỗi"
"Product attribute was successfully saved","Thuộc tính Sản phẩm đã được lưu"
"Tag Detail","Chi tiết thẻ"
"State","Vùng"
"Website was successfully saved","Trang web đã được lưu"
"Delete Address","Xóa Địa chỉ"
"Error while deleting this tax class. Please, try again later.","Có lỗi khi xóa Nhóm thuế. Hãy thử lại sau."
"Unique Value (not shared with other products)","Giá trị độc nhất (không dùng chung với Sản phẩm khác)"
"The invoice you are trying to create credit memo for no longer exists","Hóa đơn bạn đang tạo Phiếu cấn trừ tiền không còn tồn tại"
"Edit Tag '%s'","Sửa thẻ '%s'"
"Rating Options","Tuỳ chọn Đánh giá"
"Add Attribute","Thêm Thuộc tính"
"Error while saving this group. Please try again later.","Có lỗi khi lưu nhóm khách hàng này. Hãy thử lại sau."
"Summary of review","Tóm lược Nhận xét"
"Cancel","Hủy bỏ"
"HTML","HTML"
"New Invoice for Order #%s","Hóa đơn mới cho Đơn hàng #%s"
"Add Tier","Thêm Bậc"
"Role Resources","Tài nguyên cho vai trò"
"Edit Tax Rule","Sửa Quy tắc thuế"
"Qty Backordered","Số lượng đặt hàng chờ"
"Subscribed to Newsletter?","Đăng ký Thư báo?"
"Categories","Loại hàng"
"Up-sells","Bán lên"
"Add New Attribute","Thêm Thuộc tính"
"Tax Amount","Tiền thuế"
"Stop further rules processing","Ngưng xử lý quy tắc"
"Parent Category","Thư mục gốc"
"New Block","Khối mới"
"This account is","Tài khoản này là"
"Unable to get product id.","Không lấy được mã Sản phẩm."
"Add Selected Product to Order","Thêm Sản phẩm đã chọn vào đơn hàng"
"Language","Ngôn ngữ"
"Products Report (Total)","Báo cáo Sản phẩm (Tổng)"
"Default config","Cấu hình mặc định"
"Page Status","Trạng thái trang"
"Order #","# Đơn hàng"
"Save Block","Lưu khối"
"View Products","Xem Sản phẩm"
"Last Name","Họ"
"Backend Table","Bảng Hậu cứ"
"Back","Trở lại"
"Customer with the same email already exists.","Khách hàng có cùng email đã tồn tại."
"ZIP/Postal Code","Mã khu vực/bưu điện"
"Visitors Only","Chỉ cho khách"
"New Group","Nhóm mới"
"Date Added","Ngày thêm"
"Home","Trang chủ"
"Attrib. Set Name","Tên bộ thuộc tính"
"Zip/Post Code","Mã khu vực/bưu điện"
"No Templates Found","Không thấy mẫu nào"
"Role Info","Thông tin vai trò"
"Edit Poll '%s'","Sửa Thăm dò '%s'"
"New Customer","Khách hàng mới"
"Group","Nhóm "
"Poll Question","Câu hỏi thăm dò"
"Error while saving account. Please, try again later","Có lỗi khi lưu tài khoản. Hãy thử lại sau"
"Add New Poll","Thêm Thăm dò"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Dòng #%s trùng lặp (Quốc gia ""%s"", Vùng/Miền ""%s"", Khu vực ""%s"" và Giá trị ""%s"")"
"Header Text","Dòng tiêu đề"
"Invalid file upload attempt","Tải tập tin lên không hợp lệ"
"The order you are trying to create invoice for no longer exists","Đơn đặt hàng đang tính hóa đơn không tồn tại"
"Shipped to Last Name","Vận chuyển - Họ"
"Votes Count","Đếm phiếu"
"Edit User","Sửa người dùng"
"Add New Tax Rate","Thêm Thuế suất"
"Status","Trạng thái"
"Edit Poll Answer","Sửa Giải đáp thăm dò"
"This user already added to the role.","Người dùng đã được gán vai trò này."
"Save Attribute","Lưu thuộc tính"
"User ID","Mã người dùng "
"Do you really want to cancel the queue?","Bạn có muốn hủy bỏ hàng đợi không?"
"Save Rate","Lưu mức"
"Queue Start","Bắt đầu Hàng đợi"
"Cross-sells","Bán chéo"
"Delete Rating","Xóa Đánh giá"
"Import Rates From www.webservicex.net","Nhập thuế suất từ www.webservicex.net"
"Rule was successfully saved","Quy tắc đã được lưu"
"Required","Bắt buộc"
"N/A","Không áp dụng"
"Continue","Tiếp tục"
"Grid only","Chỉ dạng lưới"
"View Invoice","Xem hóa đơn"
"Use default","Dùng mặc định"
"Category move error","Lỗi chuyển Loại hàng"
"Time","Thời gian"
"Set Root Category For Store","Đặt Thư mục gốc cho cửa hàng"
"Backend Table Title","Tựa Bảng Hậu cứ"
"Product Information","Thông tin Sản phẩm"
"New Website","Trang web mới"
"Tax Rate","Thuế suất"
"Text","Văn bản"
"Input Validation for Store Owner","Thẩm định phần nhập cho Chủ cửa hàng"
"Revenue","Doanh thu"
"No records found.","Không có mẫu tin nào."
"Save Website","Lưu trang web"
"Last Activity","Hoạt động cuối"
"Included Product Categories","Loại Sản phẩm kèm theo"
"Error while saving this tax class. Class with the same name already exists.","Có lỗi khi lưu Nhóm thuế. Nhóm thuế cùng tên đã tồn tại."
"Name In Store","Tên trong cửa hàng"
"Error while deleting this tax rule. Please, try again later.","Có lỗi khi xóa quy tắc thuế. Hãy thử lại sau."
"User was successfully deleted","Người dùng đã được xoá"
"New Currency","Loại tiền mới"
"Add New review","Thêm Nhận xét"
"Store Code","Mã cửa hàng"
"View Customers","Xem khách hàng"
"Number of Total Tags","Tổng số thẻ"
"Role successfully saved.","Vai trò đã được lưu."
"Delete Block","Xóa Khối"
"Subscriber","Người đăng ký"
"Customer Since","Khách hàng từ"
"Password Management","Quản lý mật khẩu"
"Global Attribute","Thuộc tính Toàn thể"
"Delete Attribute Set","Xóa Bộ thuộc tính"
"Rating Name","Tên Đánh giá"
"Paused","Tạm dừng"
"Product ID","Mã Sản phẩm"
"Add Product","Thêm Sản phẩm"
"Poll was successfully deleted","Thăm dò ý kiến đã được xoá"
"Uses per coupon","Lần dùng cho mỗi phiếu"
"Format","Định dạng"
"Configuration successfully saved","Cấu hình đã được lưu"
"Coupon Code","Mã phiếu mua hàng"
"No Sản phẩm Found","Không có Sản phẩm nào"
"Checkout Price Rule","Quy tắc Giá thanh toán"
"Use In Layered Navigation","Dùng để điều hướng theo lớp"
"Invalid Table Rates File Format","Định dạng file Bảng thuế không hợp lệ"
"Website Code","Mã trang web"
"Save Tag","Lưu thẻ"
"Tag Name","Tên thẻ"
"Manage Currencies","Quản lý tiền tệ"
"Credit Memo was not saved","Phiếu cấn trừ không được lưu"
"Product Tax Class Information","Thông tin Nhóm thuế Sản phẩm"
"new customer","Khách hàng mới"
"Unable to find an attribute to delete","Không tìm thấy thuộc tính nào để xóa"
"Delete Selected Group","Xóa Nhóm đã chọn"
"Delete Rule","Xóa Quy tắc"
"For matching Sản phẩm only","Chỉ cho các Sản phẩm khớp đúng"
"Url","Url"
"Customer Group was successfully saved","Nhóm khách hàng đã được lưu"
"Delete reviews","Xóa Nhận xét"
"Maximum Qty Discount is Applied to","Mức giảm giá số lượng tối đa được áp dụng cho"
"Grid (default) / List","Lưới (mặc định) / Danh sách"
"Manage Product Attributes","Quản lý thuộc tính Sản phẩm"
"New System Template","Mẫu hệ thống mới"
"Website Name","Tên trang web"
"Edit Block","Sửa khối"
"View","Xem"
"Delete Customer","Xóa Khách hàng"
"Please, select Product Tax Class","Xin hãy chọn Nhóm thuế Sản phẩm"
"Search was successfully deleted","Lệnh tìm kiếm đã được xoá"
"Save Newsletter","Lưu thư báo"
"Letters","Thư"
"Synonym for","Đồng nghĩa của"
"Conditions","Điều kiện"
"or","hoặc"
"%s Tax Classes","%s Nhóm thuế"
"Attribute Identifier<br/>(For internal use. Must be unique with no spaces)","Mã thuộc tính <br/> (Sử dụng nội bộ. Phải duy nhất và không có khoảng trống)"
"Convert to Plain Text","Đổi sang văn bản đơn giản"
"Apply","Áp dụng"
"Apply Rules","Áp dụng Quy tắc"
"Save Search","Lưu lệnh tìm"
"Synonym For","Đồng nghĩa của"
"review was saved successfully","Nhận xét đã được lưu"
"Delete Selected Problems","Xóa Trục trặc đã chọn"
"Invalid Country ""%s"" in the Row #%s","Quốc gia ""%s"" không hợp lệ tại hàng #%s"
"You cannot delete account of yourself","Bạn không thể xóa tài khoản của mình"
"From Date","Từ ngày"
"Number Of reviews","Số lượng Nhận xét"
"Manage Label / Options","Quản lý nhãn / tuỳ chọn"
"Not Sent","Không gửi"
"Discount amount","Số giảm giá"
"Error while adding a group. Please, try again later.","Có lỗi khi thêm nhóm. Hãy thử lại sau."
"Resume","Tiếp tục lại"
"Redirect URL","Định hướng lại URL"
"Invoice was charged succesfully","Hóa đơn đã được thanh toán"
"Sort order","Thứ tự sắp xếp"
"Delete Store","Xóa Cửa hàng"
"Doc Number","Số tài liệu"
"Edit Answer '%s'","Sửa Giải đáp '%s'"
"All types","Mọi kiểu"
"Subtotal","Tổng số phụ"
"Coupon code","Mã phiếu mua hàng"
"User Information","Thông tin người dùng"
"Add new Role","Thêm Vai trò"
"# of Use","# lần dùng"
"New Customer Group","Nhóm khách hàng mới"
"For all types of checkout","Với mọi kiểu thanh toán"
"New Newsletter Template","Mẫu thư báo mới"
"User Info","Ttin người dùng"
"Edit Tag","Sửa thẻ"
"Error while saving this rate. Please try again later.","Có lỗi khi xóa mức này. Xin thử lại sau."
"Customer Group was successfully deleted","Nhóm khách hàng đã được xóa"
"New Customer Tax Class","Nhóm thuế khách hàng mới"
"Block was successfully saved","Khối đã được lưu"
"Online","Trực tuyến"
"Queue Finish","Xong hàng đợi"
"Class Name","Tên nhóm"
"Stores","Cửa hàng"
"Role ID","Mã vai trò"
"Rate With %s","Mức với %s"
"Poll information","Thông tin thăm dò"
"Poducts Report","Báo cáo Sản phẩm"
"Edit Search","Sửa lệnh tìm"
"Last date subscribed","Ngày đăng ký cuối cùng"
"Add","Thêm"
"Datetime","Ngày giờ"
"Default Qty","Số lượng mặc định"
"Are you sure you want to cancel this order?","Bạn có muốn xóa đơn đặt hàng này không?"
"Edit Poll","Sửa thăm dò"
"Category deleted","Loại hàng đã được xóa"
"Qty To Add","Số lượng thêm vào"
"Backend Model","Mô hình Hậu cứ"
"User was successfully saved","Người dùng đã được lưu"
"Create Product Settings","Cài đặt Tạo Sản phẩm"
"From","Từ"
"Newsletter Information","Thông tin thư báo"
"Select Configurable Attributes ","Chọn thuộc tính cấu hình được"
"Attribute Information","Thông tin thuộc tính"
"Store Information","Thông tin cửa hàng"
"n/a","Không áp dụng"
"Edit Website","Sửa trang web"
"Edit Set Name","Sửa tên bộ"
"Tax rate was successfully saved","Thuế suất đã được lưu"
"Billing Address","Địa chỉ thanh toán"
"Rules were successfully applied","Quy tắc đã được áp dụng"
"This search no longer exists","Lệnh tìm này không còn tồn tại"
"This attribute shares the same value in all the stores","Thuộc tính này có cùng giá trị trong mọi cửa hàng"
"Data Type for Saving in Database","Kiểu dữ liệu để lưu trong CSDL"
"Tag was successfully saved","Thẻ đã được lưu"
"Use advanced conditions","Dùng điều kiện nâng cao"
"Save","Lưu"
"Type","Kiểu"
"Purchased at","Mua tại"
"Enable","Kích hoạt"
"Recipients","Người nhận"
"Permission","Cho phép"
"Promo","Khuyến mãi"
"Class Details","Chi tiết Nhóm"
"Category saved","Loại hàng đã lưu"
"Name In %s","Tên trong %s"
"Zip/Postal Code","Mã khu vực/bưu điện"
"Empty","Rỗng"
"Product Name","Tên Sản phẩm"
"NOT LOGGED IN","CHƯA ĐĂNG NHẬP"
"Role successfully deleted.","Vai trò đã được xoá."
"Edit Search '%s'","Sửa lệnh tìm '%s'"
"Tax rule was successfully deleted","Quy tắc thuế đã được xóa"
"None","Không có"
"Per Order","Trên mỗi đơn hàng"
"Number Added","Số thêm vào"
"For shipment with matching Sản phẩm","Để vận chuyển với các Sản phẩm phù hợp"
"Tax rates file has been successfully imported","Tập tin thuế suất đã được nhập"
"Ship to First name","Vận chuyển - Tên"
"New Search","Lệnh tìm mới"
"Edit Rule","Sửa quy tắc"
"Letters(a-z) or Numbers(0-9)","Chữ cái (a-z) hoặc số (0-9)"
"Visible on Catalog Pages on Front-end","Thấy được trên Trang Catalog ở Mặt tiền"
"Edit User '%s'","Sửa người dùng '%s'"
"Rule Information","Thông tin Quy tắc"
"CSV","CSV"
"Submit Order","Đặt hàng"
"Options","Lựa chọn"
"Edit Customer Group","Sửa nhóm khách hàng"
"Delete","Xóa"
"Error while saving this group. Group with the same name already exists.","Có lỗi khi lưu nhóm. Nhóm cùng tên đã có sẵn."
"Last date unsubscribed","Ngày cuối thôi đăng ký"
"Text Area","Vùng văn bản"
"Queue Newsletter","Thư báo hàng đợi"
"Bought From","Được mua từ"
"Visitor","Khách viếng thăm"
"New Product Attribute","Thuộc tính Sản phẩm mới"
"Currency","Loại tiền"
"Error while deleting this set.","Lỗi khi xóa bộ thuộc tính này."
"Please select a product","Hãy chọn một Sản phẩm"
"User Role","Vai trò người dùng"
"Assigned Role","Vai trò được gán"
"Date Created","Ngày tạo"
"SKU","Mã số sản phẩm"
"Conditions and Actions","Điều kiện và thao tác"
"Pause","Tạm dừng"
"review","Xem lại"
"Integer Number","Số nguyên"
"Option Label","Nhãn tuỳ chọn"
"Recently Compared","Vừa được so sánh"
"Start","Bắt đầu"
"Rates","Mức"
"Bundle","Gói"
"Save Answer","Lưu Giải đáp"
"Number of Uses","Số lần sử dụng"
"Delete Rate","Xóa Mức"
"Shopping Cart","Giỏ hàng"
"Save Customer","Lưu khách hàng"
"Apply To","Áp dụng cho"
"Website","Trang web"
"Template Subject","Chủ đề của mẫu"
"Preview Template","Xem trước mẫu"
"Attribute Properties","Các đặc tính thuộc tính"
"Customer was successfully saved","Khách hàng đã được lưu"
"Create Credit Memo","Tạo Phiếu cấn trừ"
"Order #%s","Đơn hàng #%s"
"Shipping Address","Địa chỉ vận chuyển"
"Attribute Identifier","Mã thuộc tính"
"Globally Editable","Soạn thảo được trên toàn thể"
"Category Data","Dữ liệu Loại hàng"
"Customer Tax Class Information","Thông tin Nhóm thuế khách hàng"
"Selected subscribers were successfully added to the selected queue","Đã đưa người đăng ký được chọn vào hàng đợi"
"Date","Ngày"
"Nickname","Tên hiệu"
"Customers Tagged Product","Sản phẩm gắn thẻ khách hàng"
"Product Rating","Đánh giá Sản phẩm"
"Edit %s Tax Class Title","Sửa tên Nhóm thuế %s"
"Customer Groups","Nhóm khách hàng"
"Text Field","Trường văn bản"
"Enabled","Đã kích hoạt"
"All","Tất cả"
"Integer","Số nguyên"
"Bill to Last name","Thanh toán - Họ"
"Backup","Sao lưu"
"Dropdown","Thả xuống"
"New Store","Cửa hàng mới"
"Product Tags (Total)","Thẻ Sản phẩm (Tổng)"
"Toggle Editor","Bật tắt trình soạn thảo"
"Code","Mã số"
"Search Information","Tìm kiếm thông tin"
"Option Title","Tên tuỳ chọn"
"ZIP/Post Code","Mã khu vực/bưu điện"
"Tax class was successfully saved","Nhóm thuế đã được lưu"
"Name<br/>(For internal use)","Tên <br/> (Lưu hành nội bộ)"
"Qty","Số lượng"
"Rating Title","Tên Đánh giá"
"Advanced Conditions","Điều kiện nâng cao"
"Tax Class","Nhóm thuế"
"Keywords","Từ khóa "
"New Rule","Quy tắc mới"
"Fixed amount discount","Mức giảm giá cố định"
"Redirect","Chuyển hướng"
"You cannot edit this attribute","Bạn không thể sửa thuộc tính này"
"Unsubcribed","Chưa đăng ký"
"Edit Invoice #%s","Sửa hóa đơn #%s"
"Add Group","Thêm nhóm"
"DB","CSDL"
"Tier Pricing","Định giá theo bậc"
"New Email Template","Mẫu email mới"
"Results","Kết quả"
"First Name","Tên"
"Save Poll","Lưu Thăm dò"
"Product Attribute Sets","Bộ thuộc tính Sản phẩm"
"Save Category","Lưu Loại hàng"
"Customer Information","Thông tin khách hàng"
"Create New Order","Tạo đơn hàng mới "
"Invalid Region/State ""%s"" in the Row #%s","Vùng/Miền ""%s"" không hợp lệ tại hàng #%s"
"This invoice no longer exists","Hóa đơn không tồn tại"
"Create New Credit Memo","Tạo Phiếu cấn trừ mới"
"New Customer Groups","Nhóm khách hàng mới"
"Bought from wishlists","Mua từ Danh sách yêu thích"
"Products Tagged with '%s'","Sản phẩm gắn thẻ '%s'"
"Edit Role","Sửa vai trò"
"Edit Order","Sửa đơn hàng"
"Edit Rating","Sửa Đánh giá"
"Add New Block","Thêm Khối"
"New Credit Memo for Invoice #","Phiếu cấn trừ mới cho hóa đơn #"
"Name","Tên"
"Not activated","Chưa kích hoạt"
"Invalid request","Yêu cầu không hợp lệ"
"Exclude multi-address checkout","Loại trừ thanh toán đa địa chỉ"
"Add New Attribute Set","Thêm Bộ thuộc tính"
"Delete Invoice","Xóa Hóa đơn"
"Wrong column format","Định dạng cột sai"
"Edit Order #%s","Sửa đơn hàng #%s"
"review was successfully saved","Nhận xét đã được lưu"
"All Stores","Mọi cửa hàng"
"Summary of review","Tóm tắt Nhận xét"
"Date Posted","Ngày đưa lên"
"Qty Shipped","Số lượng vận chuyển"
"Save config","Lưu cấu hình"
"Invoice was successfully charged","Hóa đơn đã được thanh toán"
"Actions","Thao tác"
"Export","Xuất"
"Please select State","Hãy lựa chọn Vùng"
"All countries","Mọi quốc gia"
"Selected problems successfully deleted","Các trục trặc được chọn đã xoá xong"
"Save Store","Lưu cửa hàng"
"Percent of product price discount","Mức phần trăm giảm giá Sản phẩm"
"Save Page","Lưu trang"
"Error while saving this tax class. Please try again later.","Có lỗi khi lưu Nhóm thuế này. Hãy thử lại sau."
"Customers Only","Chỉ cho khách hàng"
"Catalog Price Rule","Quy tắc Giá Catalog"
"Customer doesn't have primary billing address","Khách hàng không có địa chỉ thanh toán gốc"
"Virtual Products","Sản phẩm ảo"
"Add New Answer","Thêm Giải đáp"
"Unable to find a poll to delete","Không thấy thăm dò cần xóa"
"All tags","Mọi thẻ"
"%s Tax Classes Title","Tên Nhóm thuế %s"
"Product name","Tên Sản phẩm"
"(Will make search for the query above return results for this search.)","(Sẽ tìm kết quả khác cho câu hỏi ngoài những kết quả trên)"
"Subcribed","Đã đăng ký"
"Edit Group","Sửa nhóm"
"Number Viewed","Số đã xem"
"Rating Information","Thông tin đánh giá"
"Bill to First name","Thanh toán - Tên"
"Attribute set successfully saved.","Bộ thuộc tính đã được lưu."
"Attribute Model","Mô hình thuộc tính"
"Error while saving this tax rule. Please try again later.","Có lỗi khi lưu quy tắc thuế. Hãy thử lại sau."
"Attribute with the same code already exists","Thuộc tính có cùng mã số đã tồn tại"
"Qty Returned","Số lượng trả về"
"Delete Template","Xóa Mẫu"
"Add Answer","Thêm Giải đáp"
"Add New Tag","Thêm Thẻ"
"Save review","Lưu Nhận xét"
"Answer was successfully saved","Giải đáp đã được lưu"
"Delete Search","Xóa Lệnh tìm"
"New Poll","Thăm dò mới"
"Please, select Rate","Hãy chọn mức"
"Save Role","Lưu vai trò"
"All rates were imported","Mọi mức đã được nhập"
"reviews","Nhận xét"
"Edit Invoice","Sửa hóa đơn"
"Multiple Select","Chọn nhiều"
"Visible","Thấy được"
"Rating","Đánh giá"
"Template Name","Tên mẫu"
"Product Type","Kiểu Sản phẩm"
"Please select a customer","Hãy chọn một khách hàng"
"Tax rate was successfully deleted","Thuế suất đã được xoá"
"Free ground shipping","Vận chuyển miễn phí"
"Default price","Giá mặc định"
"Disabled","Vô hiệu"
"No description","Không có mô tả"
"Delete Tag","Xóa Thẻ"
"Product saved","Sản phẩm đã lưu"
"Please select a store","Hãy chọn một cửa hàng"
"This rule no longer exists","Quy tắc này không tồn tại"
"This rule no longer exists","Quy tắc này không tồn tại"
"Ratings","Đánh giá"
"Save Currency","Lưu loại tiền"
"Ship to Last name","Vận chuyển - Họ"
"Add New Search","Thêm lệnh tìm kiếm mới"
"Delete Poll","Xóa Thăm dò"
"Priority","Ưu tiên"
"Product reviews","Nhận xét Sản phẩm"
"Invoice was not charged","Hóa đơn chưa thanh toán"
"Sent","Đã gửi"
"Assigned Options","Lựa chọn đã gán"
"Tax rule was successfully saved","Quy tắc thuế đã được lưu"
"IP Address","Địa chỉ IP"
"Settings","Cài đặt"
"Queue Subject","Chủ đề hàng đợi"
"Add New Category","Thêm Loại hàng"
"Inactive","Không kích hoạt"
"Add New Customer","Thêm Khách hàng"
"Apply To Configurable/Grouped Product","Áp dụng cho Sản phẩm theo nhóm/cấu hình"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Dùng để điều hướng theo lớp <br> (Chỉ dùng được với kiểu nhập Catalog 'Thả xuống')"
"Customer was deleted","Khách hàng đã được xóa"
"Please fill in 'email' field.","Hãy điền vào trường 'email'."
"Qty Cancelled","Số lượng hủy bỏ"
"Sending","Gửi"
"Searchable on Front-end","Có thể tìm ở Mặt tiền"
"Duplicate","Sao lại"
"Wrong tab configuration","Cấu hình tab sai"
"Add New Page","Thêm Trang"
"Edit ""%s""","Sửa ""%s"""
"Submit Invoice","Gửi hóa đơn"
"Product duplicated","Sản phẩm sao lại"
"Delete Role","Xóa Vai trò"
"Identifier","Mã"
"Poll Answers","Kết quả thăm dò"
"Wishlists","Danh sách yêu thích"
"Last Url","Url cuối cùng"
"Edit Block '%s'","Sửa khối '%s'"
"Tax Rule Information","Thông tin Quy tắc thuế"
"Edit Class Details","Sửa chi tiết nhóm"
"Rule was successfully deleted","Quy tắc đã được xóa"
"Attribute Set","Bộ thuộc tính"
"Customer View","Hiển thị khách hàng"
"Sender Email","Email người gửi"
"Products Tags","Thẻ Sản phẩm"
"HTTP (unsecure)","HTTP (không an toàn)"
"Add Option","Thêm Tuỳ chọn"
"Shipping Price","Chi phí vận chuyển"
"Edit Website '%s'","Sửa trang web '%s'"
"Create New Customer","Tạo khách hàng mới"
"Edit Newsletter","Sửa thư báo"
"# of Uses","# lần dùng"
"Number of times deleted","Số lần đã xóa"
"Newsletter Finish","Hoàn tất thư báo"
"Closed","Đã đóng"
"Edit Page '%s'","Sửa trang '%s'"
"Product deleted","Sản phẩm đã xóa"
"Preview","Xem trước"
"Save Attribute Set","Lưu bộ thuộc tính"
