"Invalid block name to set child %s: %s","Tên khối không hợp lệ cho tập con %s: %s"
"Model class does not exist: %s","Lớp mô hình không tồn tại: %s"
"Empty field id name","Tên mã trường đang trống"
"Invalid websites configuration path: %s","Đường dẫn cấu hình website không hợp lệ: %s"
"Invalid store configuration path: %s","Đường dẫn cấu hình cửa hàng không hợp lệ: %s"
"%s already exist","%s đã có"
"Exception while deleting the object","Ngoại lệ khi xóa đối tượng"
"Resource is not set","Tài nguyên chưa thiết lập"
"Error in file: ""%s"" - %s","Lỗi trong file: ""%s"" - %s"
"Block with name ""%s"" already exists","Khối có tên ""%s"" đã có"
"Duplicate Of Template Code","Sao lại mã mẫu"
"Exception while saving the object: %s","Ngoại lệ khi lưu đối tượng: %s"
"Invalid base dir type specified: %s","Kiểu thư mục gốc không hợp lệ: %s"
"Cannot Delete Email Template","Không thể xóa mẫu email"
"Can't retrieve request object","Không thể nhận được đối tượng yêu cầu"
"%s already exists","%s đã có"
"Can\'t retrieve entity config for entity: %s of model: %s","Không thể lấy được cấu hình cho thực thể: %s của mẫu: %s"
"Wrong number of arguments for %s","Số đối số cho %s không đúng"
"Could not load default layout file","Không thể tải tập tin sơ đồ mặc định"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Đối số cập nhật sơ đồ không hợp lệ, đúng ra là Mage_Core_Model_Layout_Element"
"Layout update handle not found: %s","Không thấy điều khiển cập nhật sơ đồ: %s"
"You need init translate area","Bạn cần khởi tạo vùng dịch"
"Invalid block: %s","Khối không hợp lệ: %s"
"Invalid block type: %s","Kiểu khối không hợp lệ:%s"
"Invalid messages storage ""%s"" for layout messages initialization","Lưu trữ thông điệp ""%s"" để khởi tạo sơ đồ thông điệp không hợp lệ"
"Invalid transactional email code","Mã email giao dịch không hợp lệ"
"Empty main table name","Tên bảng chính rỗng"
"Select Store","Chọn cửa hàng"
"Please specify shipping method.","Hãy chọn phương thức vận chuyển."
"Please specify payment method.","Hãy chọn phương thức thanh toán."