"City","Tỉnh/thành"
"Store to Quote rate","Lưu vào mức báo giá"
"Credit Memo","Phiếu cấn trừ tiền"
"Quote currency","Loại tiền cho Báo giá"
"My Orders","Đơn đặt hàng"
"Discover","Phát hiện"
"State/Province","Tỉnh thành"
"First Name","Tên"
"Store Credit","Tín dụng cửa hàng"
"No invoice for credit memo","Không có hóa đơn cho phiếu cấn trừ"
"Customer Notes","Ghi chú khách hàng"
"Email","Email"
"Pending","Chưa giải quyết"
"There's not enough qty of product '%s' in invoice to return","Không đủ số lượng Sản phẩm '%s' trong hóa đơn để hoàn trả"
"Fax","Fax"
"Returned","Đã trả"
"Canceled","Hủy bỏ"
"Unknown invoice type","Loại hóa đơn không rõ"
"Company","Công ty"
"Errors during order creation","Có lỗi khi tạo đơn đặt hàng"
"Store currency","Loại tiền cho cửa hàng"
"Discount","Giảm giá"
"American Express","American Express"
"Zip/Postal Code","Mã khu vực/bưu điện"
"Sent","Đã gửi"
"Shipping Method","Phương thức vận chuyển"
"Subtotal","Tổng số phụ"
"Last Name","Họ"
"Unknown Status","Tình trạng không xác định"
"Base currency","Loại tiền cơ sở"
"Backordered","Đặt hàng chờ"
"Visa","Visa"
"Quote Status","Tình trạng Báo giá"
"Grand Total","Tổng cộng"
"Payed","Đã trả tiền"
"Order Details","Chi tiết đặt hàng"
"Shipped","Đã chuyển"
"Master Card","Master Card"
"Mixed","Hỗn hợp"
"Original order ID","Mã đặt hàng gốc"
"Store to Base rate","Lưu vào mức cơ bản"
"Same as billing","Giống như thanh toán"
"No order for invoice","Không có đơn hàng cho hoá đơn"
"Partial","Một phần"
"Unknown Type","Loại không xác định"
"Weight","Trọng lượng"
"Shipping & Handling","Vận chuyển & Đóng gói"
"Order Invoices","Hóa đơn đặt hàng"
"Street Address","Địa chỉ"
"Tax","Thuế"
"Telephone","Điện thoại"
"There's not enough qty of product '%s' in order to ship","Không đủ số lượng Sản phẩm '%s' trong đặt hàng để giao"
"Coupon","Phiếu mua hàng"
"Invoice","Hóa đơn"
"Gift certificate","Phiếu tặng quà"
"Order #%s - %s","Đặt hàng #%s - %s"
"Shipping Amount","Khối lượng vận chuyển"
"Ship to","Chuyển đến"
"View Order","Xem đơn hàng"
"Price","Giá"
"Billing Address","Địa chỉ thanh toán"
"Order Date: %s","Ngày đặt hàng: %s"
"Print All Invoices","In tất cả hóa đơn"
"Order Total","Tổng đặt hàng"
"Status","Tình trạng"
"Payment Method","Phương thức thanh toán"
"Track Order","Theo dõi đơn hàng"
"View All","Xem hết"
"Recent Orders","Đơn hàng gần nhất"
"Date","Ngày"
"Qty Ordered","Số lượng đặt hàng"
"My Orders - Details","Đơn hàng - Chi tiết"
"About Your Order","Về đơn hàng của bạn"
"Product Name","Tên Sản phẩm"
"Tax Amount","Tiền thuế"
"Invoice #%s","Hóa đơn #%s"
"Sản phẩm Ordered","Sản phẩm đã đặt"
"Order #","# Đơn hàng"
"Order Status","Tình trạng đặt hàng"
"View Invoices","Xem hóa đơn"
"Order #%s","Đơn hàng #%s"
"You have placed no orders.","Bạn không có đơn hàng nào."
"Qty Shipped","Số lượng vận chuyển"
"Order Subtotal","Tổng số phụ đơn hàng"
"Print Invoice","In hóa đơn"
"Back to My Orders","Về mục Đơn hàng"
"Shipping Address","Địa chỉ vận chuyển"
"About This Order:","Về đơn hàng nay:"
"About Your Order","Về đơn hàng của bạn"
"Order Information","Thông tin đơn hàng"
"Invoices","Hóa đơn"
"Items Ordered","Sản phẩm đã trong đơn hàng"
"""%s"" coupon code is not valid.","""%s"" mã giảm giá không đúng."
"""%s"" coupon code is not valid.","""%s"" mã giảm giá ko đúng."
"Apply Coupon Code","Áp dụng mã giảm giá"
"Apply Coupon Code","Áp dụng mã giảm giá"
"Remove Coupon Code","Bỏ mã giảm giá"
"Remove Coupon Code","Bỏ mã giảm giá"
"Print Order","In hóa đơn"
"Print Order # %s","In hóa đơn # %s"